"Fact","Fact Note","Carolina Municipio, Puerto Rico","Value Note for Carolina Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","146,984",""
"Population estimates base, April 1, 2010,  (V2019)","","176,762",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-16.8%",""
"Population, Census, April 1, 2010","","176,762",""
"Persons under 5 years, percent","","3.5%",""
"Persons under 18 years, percent","","17.0%",""
"Persons 65 years and over, percent","","23.1%",""
"Female persons, percent","","54.4%",""
"White alone, percent","","53.9%",""
"Black or African American alone, percent","(a)","20.5%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","7.8%",""
"Hispanic or Latino, percent","(b)","98.8%",""
"White alone, not Hispanic or Latino, percent","","0.7%",""
"Veterans, 2015-2019","","4,595",""
"Foreign born persons, percent, 2015-2019","","6.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","70.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$139,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,004",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$201",""
"Median gross rent, 2015-2019","","$622",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","61,909",""
"Persons per household, 2015-2019","","2.47",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","90.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","90.5%",""
"Households with a computer, percent, 2015-2019","","82.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","76.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","84.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","31.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.8%",""
"Persons  without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","53.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","48.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","547,272",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","193,891",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","12,035,562",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","840,938",""
"Total retail sales, 2012 ($1,000)","(c)","1,767,603",""
"Total retail sales per capita, 2012","(c)","$10,233",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.0",""
"Median household income (in 2019 dollars), 2015-2019","","$29,059",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$16,846",""
"Persons in poverty, percent","","30.9%",""
"Total employer establishments, 2018","","1,874",""
"Total employment, 2018","","36,533",""
"Total annual payroll, 2018 ($1,000)","","909,435",""
"Total employment, percent change, 2017-2018","","-3.0%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","3,900.2",""
"Land area in square miles, 2010","","45.32",""
"FIPS Code","","""72031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
