"Fact","Fact Note","Cayey Municipio, Puerto Rico","Value Note for Cayey Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","42,409",""
"Population estimates base, April 1, 2010,  (V2019)","","48,119",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-11.9%",""
"Population, Census, April 1, 2010","","48,119",""
"Persons under 5 years, percent","","3.6%",""
"Persons under 18 years, percent","","17.3%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","52.1%",""
"White alone, percent","","63.0%",""
"Black or African American alone, percent","(a)","6.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","25.5%",""
"Hispanic or Latino, percent","(b)","99.4%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","1,283",""
"Foreign born persons, percent, 2015-2019","","1.0%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","63.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$117,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$865",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$136",""
"Median gross rent, 2015-2019","","$476",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","16,213",""
"Persons per household, 2015-2019","","2.69",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","93.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.3%",""
"Households with a computer, percent, 2015-2019","","71.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","68.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","75.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","24.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","25.7%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","40.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","37.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","38,058",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","185,786",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","839,152",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","3,766",""
"Total retail sales, 2012 ($1,000)","(c)","343,090",""
"Total retail sales per capita, 2012","(c)","$7,203",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.2",""
"Median household income (in 2019 dollars), 2015-2019","","$22,518",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$12,819",""
"Persons in poverty, percent","","40.9%",""
"Total employer establishments, 2018","","460",""
"Total employment, 2018","","7,470",""
"Total annual payroll, 2018 ($1,000)","","201,651",""
"Total employment, percent change, 2017-2018","","2.3%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","926.5",""
"Land area in square miles, 2010","","51.93",""
"FIPS Code","","""72035""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
